Area(23 Markets),Country/Area(23 Markets),Month (abbr),Purpose_of_visit_to_Japan,Visitor Arrivals,Year
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Aug.,Others,33,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Sep.,Others,48,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Oct.,Others,99,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Nov.,Others,92,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Dec.,Others,107,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Jan.,Others,474,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Feb.,Others,112,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Mar.,Others,167,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Apr.,Others,25,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,May,Others,1,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Jun.,Others,2,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Jul.,Others,2,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Aug.,Others,5,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Sep.,Others,8,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Oct.,Others,28,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Nov.,Others,40,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Dec.,Others,37,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Jan.,Others,638,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Feb.,Others,267,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Mar.,Others,176,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Apr.,Others,15,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,May,Others,0,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Jun.,Others,27,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Jul.,Others,20,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Aug.,Others,62,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Sep.,Others,166,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Oct.,Others,157,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Nov.,Others,132,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Dec.,Others,76,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Jan.,Others,876,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Feb.,Others,369,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Mar.,Others,243,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Apr.,Others,0,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,May,Others,0,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Jun.,Others,5,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Jul.,Others,21,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Aug.,Others,82,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Sep.,Others,60,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Oct.,Others,100,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Nov.,Others,102,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Dec.,Others,107,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Jan.,Others,"1,067",2020
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Feb.,Others,415,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Mar.,Others,439,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Apr.,Others,3,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,May,Others,6,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Jun.,Others,0,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Jul.,Others,7,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Aug.,Others,54,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Sep.,Others,52,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Oct.,Others,199,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Nov.,Others,218,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Dec.,Others,173,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Jan.,Others,916,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Feb.,Others,296,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Mar.,Others,270,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Apr.,Others,2,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,May,Others,0,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Jun.,Others,8,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Jul.,Others,25,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Aug.,Others,37,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Sep.,Others,44,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Oct.,Others,75,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Nov.,Others,69,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Dec.,Others,99,2020
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Jan.,Others,"3,284",2020
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Feb.,Others,"1,091",2020
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Mar.,Others,780,2020
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Apr.,Others,8,2020
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,May,Others,1,2020
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Jun.,Others,20,2020
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Jul.,Others,33,2020
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Aug.,Others,126,2020
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Sep.,Others,65,2020
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Oct.,Others,171,2020
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Nov.,Others,199,2020
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Dec.,Others,220,2020
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Jan.,Others,"11,225",2020
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Feb.,Others,"3,507",2020
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Mar.,Others,"2,825",2020
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Apr.,Others,91,2020
Europe & Nordic Countries & Americas & Australia & Middle East,United States,May,Others,12,2020
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Jun.,Others,49,2020
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Jul.,Others,271,2020
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Aug.,Others,518,2020
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Sep.,Others,407,2020
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Oct.,Others,595,2020
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Nov.,Others,651,2020
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Dec.,Others,774,2020
All,All,Jan.,Others,"258,168",2020
All,All,Feb.,Others,"112,906",2020
All,All,Mar.,Others,"60,469",2020
All,All,Apr.,Others,"1,956",2020
All,All,May,Others,"1,485",2020
All,All,Jun.,Others,"2,168",2020
All,All,Jul.,Others,"3,123",2020
All,All,Aug.,Others,"7,474",2020
All,All,Sep.,Others,"11,870",2020
All,All,Oct.,Others,"24,038",2020
All,All,Nov.,Others,"50,850",2020
All,All,Dec.,Others,"53,065",2020
East Asia,China,Jan.,Business,"24,645",2020
East Asia,China,Feb.,Business,"5,333",2020
East Asia,China,Mar.,Business,655,2020
East Asia,China,Apr.,Business,8,2020
East Asia,China,May,Business,3,2020
East Asia,China,Jun.,Business,29,2020
East Asia,China,Jul.,Business,67,2020
East Asia,China,Aug.,Business,152,2020
East Asia,China,Sep.,Business,254,2020
East Asia,China,Oct.,Business,385,2020
East Asia,China,Nov.,Business,"1,097",2020
East Asia,China,Dec.,Business,"1,006",2020
East Asia,Hong Kong,Jan.,Business,"2,564",2020
East Asia,Hong Kong,Feb.,Business,"1,535",2020
East Asia,Hong Kong,Mar.,Business,225,2020
East Asia,Hong Kong,Apr.,Business,1,2020
East Asia,Hong Kong,May,Business,0,2020
East Asia,Hong Kong,Jun.,Business,2,2020
East Asia,Hong Kong,Jul.,Business,0,2020
East Asia,Hong Kong,Aug.,Business,9,2020
East Asia,Hong Kong,Sep.,Business,12,2020
East Asia,Hong Kong,Oct.,Business,28,2020
East Asia,Hong Kong,Nov.,Business,73,2020
East Asia,Hong Kong,Dec.,Business,63,2020
East Asia,South Korea,Jan.,Business,"20,946",2020
East Asia,South Korea,Feb.,Business,"14,639",2020
East Asia,South Korea,Mar.,Business,"1,771",2020
East Asia,South Korea,Apr.,Business,25,2020
East Asia,South Korea,May,Business,2,2020
East Asia,South Korea,Jun.,Business,10,2020
East Asia,South Korea,Jul.,Business,21,2020
East Asia,South Korea,Aug.,Business,57,2020
East Asia,South Korea,Sep.,Business,116,2020
East Asia,South Korea,Oct.,Business,320,2020
East Asia,South Korea,Nov.,Business,916,2020
East Asia,South Korea,Dec.,Business,812,2020
East Asia,Taiwan,Jan.,Business,"7,921",2020
East Asia,Taiwan,Feb.,Business,"5,484",2020
East Asia,Taiwan,Mar.,Business,749,2020
East Asia,Taiwan,Apr.,Business,11,2020
East Asia,Taiwan,May,Business,1,2020
East Asia,Taiwan,Jun.,Business,2,2020
East Asia,Taiwan,Jul.,Business,3,2020
East Asia,Taiwan,Aug.,Business,39,2020
East Asia,Taiwan,Sep.,Business,132,2020
East Asia,Taiwan,Oct.,Business,302,2020
East Asia,Taiwan,Nov.,Business,343,2020
East Asia,Taiwan,Dec.,Business,202,2020
Southeast Asia & India,India,Jan.,Business,"4,359",2020
Southeast Asia & India,India,Feb.,Business,"2,489",2020
Southeast Asia & India,India,Mar.,Business,280,2020
Southeast Asia & India,India,Apr.,Business,2,2020
Southeast Asia & India,India,May,Business,2,2020
Southeast Asia & India,India,Jun.,Business,1,2020
Southeast Asia & India,India,Jul.,Business,6,2020
Southeast Asia & India,India,Aug.,Business,10,2020
Southeast Asia & India,India,Sep.,Business,12,2020
Southeast Asia & India,India,Oct.,Business,39,2020
Southeast Asia & India,India,Nov.,Business,59,2020
Southeast Asia & India,India,Dec.,Business,104,2020
Southeast Asia & India,Indonesia,Jan.,Business,"1,680",2020
Southeast Asia & India,Indonesia,Feb.,Business,"1,265",2020
Southeast Asia & India,Indonesia,Mar.,Business,269,2020
Southeast Asia & India,Indonesia,Apr.,Business,0,2020
Southeast Asia & India,Indonesia,May,Business,0,2020
Southeast Asia & India,Indonesia,Jun.,Business,0,2020
Southeast Asia & India,Indonesia,Jul.,Business,1,2020
Southeast Asia & India,Indonesia,Aug.,Business,1,2020
Southeast Asia & India,Indonesia,Sep.,Business,4,2020
Southeast Asia & India,Indonesia,Oct.,Business,9,2020
Southeast Asia & India,Indonesia,Nov.,Business,56,2020
Southeast Asia & India,Indonesia,Dec.,Business,73,2020
Southeast Asia & India,Malaysia,Jan.,Business,"1,613",2020
Southeast Asia & India,Malaysia,Feb.,Business,"1,445",2020
Southeast Asia & India,Malaysia,Mar.,Business,264,2020
Southeast Asia & India,Malaysia,Apr.,Business,0,2020
Southeast Asia & India,Malaysia,May,Business,0,2020
Southeast Asia & India,Malaysia,Jun.,Business,0,2020
Southeast Asia & India,Malaysia,Jul.,Business,1,2020
Southeast Asia & India,Malaysia,Aug.,Business,2,2020
Southeast Asia & India,Malaysia,Sep.,Business,8,2020
Southeast Asia & India,Malaysia,Oct.,Business,156,2020
Southeast Asia & India,Malaysia,Nov.,Business,201,2020
Southeast Asia & India,Malaysia,Dec.,Business,131,2020
Southeast Asia & India,Philippines,Jan.,Business,"2,754",2020
Southeast Asia & India,Philippines,Feb.,Business,"1,690",2020
Southeast Asia & India,Philippines,Mar.,Business,477,2020
Southeast Asia & India,Philippines,Apr.,Business,1,2020
Southeast Asia & India,Philippines,May,Business,0,2020
Southeast Asia & India,Philippines,Jun.,Business,0,2020
Southeast Asia & India,Philippines,Jul.,Business,1,2020
Southeast Asia & India,Philippines,Aug.,Business,1,2020
Southeast Asia & India,Philippines,Sep.,Business,6,2020
Southeast Asia & India,Philippines,Oct.,Business,19,2020
Southeast Asia & India,Philippines,Nov.,Business,88,2020
Southeast Asia & India,Philippines,Dec.,Business,92,2020
Southeast Asia & India,Singapore,Jan.,Business,"2,085",2020
Southeast Asia & India,Singapore,Feb.,Business,"1,553",2020
Southeast Asia & India,Singapore,Mar.,Business,284,2020
Southeast Asia & India,Singapore,Apr.,Business,0,2020
Southeast Asia & India,Singapore,May,Business,0,2020
Southeast Asia & India,Singapore,Jun.,Business,0,2020
Southeast Asia & India,Singapore,Jul.,Business,1,2020
Southeast Asia & India,Singapore,Aug.,Business,1,2020
Southeast Asia & India,Singapore,Sep.,Business,6,2020
Southeast Asia & India,Singapore,Oct.,Business,78,2020
Southeast Asia & India,Singapore,Nov.,Business,81,2020
Southeast Asia & India,Singapore,Dec.,Business,41,2020
Southeast Asia & India,Thailand,Jan.,Business,"2,688",2020
Southeast Asia & India,Thailand,Feb.,Business,"1,984",2020
Southeast Asia & India,Thailand,Mar.,Business,336,2020
Southeast Asia & India,Thailand,Apr.,Business,0,2020
Southeast Asia & India,Thailand,May,Business,1,2020
Southeast Asia & India,Thailand,Jun.,Business,4,2020
Southeast Asia & India,Thailand,Jul.,Business,5,2020
Southeast Asia & India,Thailand,Aug.,Business,155,2020
Southeast Asia & India,Thailand,Sep.,Business,389,2020
Southeast Asia & India,Thailand,Oct.,Business,185,2020
Southeast Asia & India,Thailand,Nov.,Business,163,2020
Southeast Asia & India,Thailand,Dec.,Business,158,2020
Southeast Asia & India,Vietnam,Jan.,Business,"2,156",2020
Southeast Asia & India,Vietnam,Feb.,Business,"2,279",2020
Southeast Asia & India,Vietnam,Mar.,Business,602,2020
Southeast Asia & India,Vietnam,Apr.,Business,1,2020
Southeast Asia & India,Vietnam,May,Business,0,2020
Southeast Asia & India,Vietnam,Jun.,Business,2,2020
Southeast Asia & India,Vietnam,Jul.,Business,5,2020
Southeast Asia & India,Vietnam,Aug.,Business,12,2020
Southeast Asia & India,Vietnam,Sep.,Business,18,2020
Southeast Asia & India,Vietnam,Oct.,Business,93,2020
Southeast Asia & India,Vietnam,Nov.,Business,79,2020
Southeast Asia & India,Vietnam,Dec.,Business,48,2020
Others,Others,Jan.,Business,"8,416",2020
Others,Others,Feb.,Business,"7,252",2020
Others,Others,Mar.,Business,"1,763",2020
Others,Others,Apr.,Business,43,2020
Others,Others,May,Business,54,2020
Others,Others,Jun.,Business,109,2020
Others,Others,Jul.,Business,98,2020
Others,Others,Aug.,Business,146,2020
Others,Others,Sep.,Business,155,2020
Others,Others,Oct.,Business,364,2020
Others,Others,Nov.,Business,589,2020
Others,Others,Dec.,Business,677,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Jan.,Business,"1,980",2020
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Feb.,Business,"1,792",2020
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Mar.,Business,345,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Apr.,Business,12,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,May,Business,1,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Jun.,Business,0,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Jul.,Business,2,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Aug.,Business,5,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Sep.,Business,8,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Oct.,Business,43,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Nov.,Business,38,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Dec.,Business,34,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Jan.,Business,"1,400",2020
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Feb.,Business,"1,165",2020
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Mar.,Business,190,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Apr.,Business,4,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,May,Business,0,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Jun.,Business,0,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Jul.,Business,2,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Aug.,Business,4,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Sep.,Business,6,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Oct.,Business,17,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Nov.,Business,19,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Dec.,Business,20,2020
Europe & Nordic Countries & Americas & Australia & Middle East,France,Jan.,Business,"2,746",2020
Europe & Nordic Countries & Americas & Australia & Middle East,France,Feb.,Business,"2,095",2020
Europe & Nordic Countries & Americas & Australia & Middle East,France,Mar.,Business,423,2020
Europe & Nordic Countries & Americas & Australia & Middle East,France,Apr.,Business,1,2020
Europe & Nordic Countries & Americas & Australia & Middle East,France,May,Business,0,2020
Europe & Nordic Countries & Americas & Australia & Middle East,France,Jun.,Business,1,2020
Europe & Nordic Countries & Americas & Australia & Middle East,France,Jul.,Business,3,2020
Europe & Nordic Countries & Americas & Australia & Middle East,France,Aug.,Business,13,2020
Europe & Nordic Countries & Americas & Australia & Middle East,France,Sep.,Business,10,2020
Europe & Nordic Countries & Americas & Australia & Middle East,France,Oct.,Business,81,2020
Europe & Nordic Countries & Americas & Australia & Middle East,France,Nov.,Business,76,2020
Europe & Nordic Countries & Americas & Australia & Middle East,France,Dec.,Business,46,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Jan.,Business,"3,296",2020
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Feb.,Business,"2,937",2020
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Mar.,Business,490,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Apr.,Business,1,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,May,Business,0,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Jun.,Business,1,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Jul.,Business,4,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Aug.,Business,14,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Sep.,Business,23,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Oct.,Business,83,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Nov.,Business,130,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Dec.,Business,55,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Jan.,Business,"1,465",2020
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Feb.,Business,"1,065",2020
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Mar.,Business,123,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Apr.,Business,0,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,May,Business,1,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Jun.,Business,0,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Jul.,Business,1,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Aug.,Business,7,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Sep.,Business,11,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Oct.,Business,23,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Nov.,Business,24,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Dec.,Business,15,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Jan.,Business,326,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Feb.,Business,207,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Mar.,Business,46,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Apr.,Business,2,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,May,Business,0,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Jun.,Business,0,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Jul.,Business,0,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Aug.,Business,0,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Sep.,Business,2,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Oct.,Business,1,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Nov.,Business,15,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Dec.,Business,4,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Jan.,Business,697,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Feb.,Business,397,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Mar.,Business,37,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Apr.,Business,0,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,May,Business,0,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Jun.,Business,0,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Jul.,Business,1,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Aug.,Business,6,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Sep.,Business,4,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Oct.,Business,30,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Nov.,Business,22,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Dec.,Business,19,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Jan.,Business,"1,413",2020
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Feb.,Business,"1,179",2020
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Mar.,Business,215,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Apr.,Business,0,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,May,Business,0,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Jun.,Business,0,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Jul.,Business,1,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Aug.,Business,8,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Sep.,Business,13,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Oct.,Business,33,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Nov.,Business,35,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Dec.,Business,26,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Jan.,Business,"1,165",2020
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Feb.,Business,"1,189",2020
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Mar.,Business,607,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Apr.,Business,2,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,May,Business,0,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Jun.,Business,0,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Jul.,Business,1,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Aug.,Business,7,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Sep.,Business,4,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Oct.,Business,98,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Nov.,Business,423,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Dec.,Business,198,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Jan.,Business,632,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Feb.,Business,519,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Mar.,Business,91,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Apr.,Business,1,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,May,Business,1,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Jun.,Business,0,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Jul.,Business,0,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Aug.,Business,8,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Sep.,Business,15,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Oct.,Business,22,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Nov.,Business,27,2020
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Dec.,Business,21,2020
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Jan.,Business,"3,594",2020
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Feb.,Business,"2,805",2020
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Mar.,Business,650,2020
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Apr.,Business,0,2020
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,May,Business,1,2020
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Jun.,Business,2,2020
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Jul.,Business,2,2020
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Aug.,Business,5,2020
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Sep.,Business,12,2020
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Oct.,Business,51,2020
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Nov.,Business,77,2020
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Dec.,Business,49,2020
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Jan.,Business,"14,558",2020
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Feb.,Business,"10,967",2020
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Mar.,Business,"2,652",2020
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Apr.,Business,70,2020
Europe & Nordic Countries & Americas & Australia & Middle East,United States,May,Business,3,2020
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Jun.,Business,8,2020
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Jul.,Business,15,2020
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Aug.,Business,40,2020
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Sep.,Business,97,2020
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Oct.,Business,128,2020
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Nov.,Business,162,2020
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Dec.,Business,157,2020
